candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes
anchor,𐌌𐌉,mi I or me,0.66,0.78,0.68,0.86,0.62,0.66,0.68,0.76,0.4,0.08,0.06,0.08,0,0,Compact early word and orientation drill
anchor,𐌀𐌅𐌉𐌋,avil age or year,0.62,0.84,0.72,0.68,0.68,0.62,0.7,0.84,0.4,0.14,0.08,0.08,0,0,Funerary inscription payoff with strong letter reuse
anchor,𐌔𐌖𐌈𐌉,suthi tomb,0.58,0.86,0.72,0.64,0.72,0.58,0.7,0.86,0.38,0.16,0.08,0.08,0.02,0,High funerary-domain anchor with cultural context needs
anchor,𐌂𐌋𐌀𐌍,clan son,0.56,0.8,0.66,0.64,0.68,0.58,0.66,0.8,0.38,0.14,0.08,0.08,0,0,Kinship anchor with Etruscan-specific terminology
anchor,𐌕𐌖𐌋𐌀𐌓,tular boundary,0.5,0.76,0.62,0.58,0.68,0.56,0.64,0.78,0.36,0.18,0.08,0.08,0,0,Public inscription anchor but less frequent
anchor,𐌋𐌀𐌓𐌈,Larth personal name,0.54,0.78,0.62,0.62,0.62,0.56,0.64,0.82,0.36,0.16,0.08,0.08,0,0,Common name-style anchor with theta review
anchor,𐌀𐌓𐌍𐌈,Arnth personal name,0.5,0.76,0.6,0.6,0.62,0.56,0.62,0.8,0.36,0.16,0.08,0.08,0,0,Name anchor after n and theta are introduced
anchor,𐌌𐌀𐌈,mother-like name chunk,0.42,0.64,0.48,0.66,0.52,0.52,0.56,0.68,0.32,0.12,0.1,0.14,0,0,Gloss needs specialist review before use
anchor,𐌔𐌄𐌂,sek sequence,0.38,0.58,0.42,0.58,0.48,0.5,0.52,0.62,0.3,0.12,0.1,0.14,0,0,Placeholder sequence should remain reviewer-gated
anchor,𐌐𐌀,pa sequence,0.34,0.54,0.38,0.62,0.44,0.56,0.48,0.58,0.3,0.1,0.08,0.14,0,0,Low-confidence late practice sequence
anchor,𐌉𐌌,im reversed-mi practice,0.4,0.7,0.56,0.82,0.76,0.66,0.7,0.76,0.34,0.08,0.06,0.12,0,0,Orientation contrast practice not a lexical anchor
anchor,𐌅𐌄𐌋,vel sequence,0.38,0.58,0.42,0.54,0.46,0.5,0.5,0.6,0.3,0.14,0.1,0.14,0,0,Reviewer-gated name or chunk candidate
