candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes,candidate_score,score_band
anchor,ನೀರು,water,0.68,0.94,0.82,0.66,0.72,0.86,0.7,0.9,0.5,0.1,0.02,0.02,0,0,Survival word and strong vowel-sign practice,0.6312,promising
anchor,ಹಾಲು,milk,0.64,0.9,0.76,0.66,0.72,0.88,0.7,0.88,0.5,0.1,0.02,0.02,0,0,Short menu word for haa la and u sign review,0.6064,promising
anchor,ಚಹಾ,tea,0.58,0.88,0.68,0.64,0.62,0.84,0.64,0.86,0.5,0.1,0.02,0.02,0,0,Short cafe anchor with clear consonant-vowel frames,0.5564,promising
anchor,ಬೆಲೆ,price,0.6,0.9,0.72,0.58,0.68,0.82,0.68,0.82,0.5,0.12,0.02,0.02,0,0,Shopping anchor with e signs and l review,0.5476,promising
anchor,ಕಾಫಿ,coffee,0.62,0.88,0.72,0.62,0.62,0.78,0.66,0.86,0.5,0.12,0.03,0.02,0,0,Cafe loanword with long aa and i sign,0.5352,promising
anchor,ರೈಲು,train,0.58,0.88,0.72,0.56,0.72,0.82,0.7,0.84,0.5,0.14,0.02,0.02,0,0,Transit anchor and ai sign practice,0.5228,promising
anchor,ಅನ್ನ,rice or food,0.66,0.88,0.76,0.5,0.8,0.8,0.74,0.86,0.5,0.2,0.03,0.03,0,0,Food staple but doubled consonant adds load,0.4680,weak
anchor,ಅಂಗಡಿ,shop,0.6,0.9,0.76,0.46,0.78,0.78,0.72,0.86,0.5,0.22,0.04,0.02,0,0,Core domain word with anusvara and new retroflex stop,0.4280,weak
anchor,ಬಸ್,bus,0.52,0.86,0.66,0.46,0.7,0.76,0.66,0.78,0.5,0.18,0.04,0.03,0,0,Transit loanword and virama endpoint,0.4008,weak
anchor,ಹೋಟೆಲ್,hotel,0.56,0.88,0.7,0.42,0.72,0.78,0.7,0.82,0.5,0.24,0.03,0.02,0,0,Common sign loanword but adds o sign and final virama,0.3816,weak
anchor,ಪ್ರವೇಶ,entrance,0.52,0.9,0.72,0.36,0.82,0.76,0.76,0.82,0.5,0.28,0.04,0.02,0,0,High signage utility but pr conjunct and sha make it late,0.3332,weak
anchor,ಔಷಧಿ,medicine,0.52,0.88,0.7,0.34,0.78,0.76,0.72,0.84,0.5,0.28,0.04,0.03,0,0,Useful pharmacy concept but includes less common vowel and sha,0.3080,weak
anchor,ಆಸ್ಪತ್ರೆ,hospital,0.52,0.9,0.72,0.32,0.82,0.76,0.76,0.84,0.5,0.32,0.04,0.02,0,0,Facility anchor with spa and tre clusters,0.2884,weak
anchor,ನಿರ್ಗಮನ,exit,0.48,0.9,0.7,0.32,0.84,0.74,0.76,0.82,0.5,0.32,0.05,0.03,0,0,Essential sign concept but has rga conjunct load,0.2560,weak
anchor,ಶೌಚಾಲಯ,toilet,0.46,0.88,0.66,0.28,0.8,0.72,0.72,0.8,0.5,0.34,0.04,0.03,0,0,Useful facility word but too many new signs for early lessons,0.2172,weak
