candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,𐀏,ka syllabogram,0.78,0.72,0.72,0.84,0.7,0.68,0.84,0.03,0.06,0.04,0.05,0,High-payoff in ka-ko and wa-na-ka
grapheme,𐀒,ko syllabogram,0.72,0.66,0.7,0.8,0.7,0.64,0.84,0.03,0.06,0.04,0.05,0,Useful in bronze and Knossos anchors
grapheme,𐀷,wa syllabogram,0.66,0.6,0.66,0.76,0.66,0.64,0.86,0.03,0.08,0.05,0.05,0,Important for wa-na-ka but value needs review
grapheme,𐀙,na syllabogram,0.76,0.7,0.7,0.82,0.72,0.64,0.84,0.03,0.05,0.04,0.05,0,Common syllable and strong anchor availability
grapheme,𐀡,po syllabogram,0.68,0.62,0.64,0.76,0.7,0.62,0.84,0.03,0.06,0.04,0.05,0,Useful in po-ti-ni-ja and ti-ri-po
grapheme,𐀴,ti syllabogram,0.7,0.64,0.64,0.76,0.72,0.62,0.84,0.03,0.06,0.04,0.05,0,High-payoff syllable in Potnia and tripod
grapheme,𐀛,ni syllabogram,0.64,0.58,0.58,0.68,0.72,0.58,0.84,0.03,0.06,0.04,0.05,0,Useful in po-ti-ni-ja
grapheme,𐀊,ja syllabogram,0.56,0.52,0.54,0.64,0.58,0.58,0.86,0.03,0.08,0.05,0.05,0,Final value in Potnia anchor and yod-like convention caveat
grapheme,𐀞,pa syllabogram,0.62,0.56,0.56,0.66,0.72,0.56,0.84,0.03,0.06,0.04,0.05,0,Useful in pa-ka-na and administrative words
grapheme,𐀀,a syllabogram,0.72,0.66,0.6,0.72,0.74,0.58,0.82,0.03,0.05,0.04,0.05,0,Core open vowel and early syllabary concept
grapheme,𐀵,to syllabogram,0.6,0.56,0.54,0.62,0.72,0.54,0.84,0.03,0.06,0.04,0.05,0,Useful for a-to-ro-qo and tablet terms
grapheme,𐀪,ri syllabogram,0.58,0.54,0.54,0.62,0.66,0.56,0.84,0.03,0.07,0.05,0.05,0,Linear B r and l conventions need explicit review
grapheme,𐀆,de syllabogram,0.54,0.5,0.5,0.56,0.7,0.52,0.84,0.03,0.06,0.04,0.05,0,Late support for ti-ri-po-de style forms
grapheme,𐀦,qo syllabogram,0.52,0.48,0.5,0.58,0.5,0.6,0.86,0.03,0.1,0.06,0.05,0,Special labiovelar convention has high explanation load
grapheme,𐀨,ra syllabogram,0.58,0.54,0.52,0.6,0.66,0.56,0.84,0.03,0.07,0.05,0.05,0,r and l convention makes this a later unit
grapheme,𐀰,so syllabogram,0.56,0.52,0.54,0.62,0.72,0.54,0.84,0.03,0.06,0.04,0.05,0,Useful in Knossos anchor after ko and no
grapheme,𐀜,no syllabogram,0.56,0.52,0.54,0.62,0.72,0.54,0.84,0.03,0.06,0.04,0.05,0,Useful in Knossos anchor after core syllables
