candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes
anchor,ရေ,water,0.78,0.96,0.86,0.82,0.72,0.78,0.72,0.9,0.45,0.08,0.03,0.02,0,0,High survival word with preposed vowel sign
anchor,ကော်ဖီ,coffee,0.56,0.9,0.74,0.5,0.8,0.7,0.7,0.9,0.45,0.22,0.05,0.03,0,0,Familiar cafe word with vowel and mark stacking
anchor,လက်ဖက်ရည်,tea,0.58,0.9,0.74,0.34,0.86,0.62,0.74,0.88,0.45,0.32,0.08,0.03,0,0,High cultural utility but long and asat-heavy
anchor,ထမင်း,rice / meal,0.76,0.94,0.84,0.54,0.82,0.68,0.76,0.9,0.45,0.22,0.06,0.03,0,0,Core food anchor with tone mark and final nasal behavior
anchor,ဆိုင်,shop,0.66,0.92,0.78,0.62,0.72,0.76,0.72,0.86,0.45,0.14,0.04,0.02,0,0,Storefront anchor with vowel-sign and final behavior
anchor,ဈေး,market / price,0.64,0.92,0.78,0.58,0.74,0.72,0.72,0.86,0.45,0.16,0.04,0.03,0,0,Market and price anchor with distinct letter needing review
anchor,လမ်း,road,0.64,0.9,0.76,0.6,0.74,0.72,0.7,0.82,0.45,0.16,0.04,0.02,0,0,Wayfinding anchor with final and tone mark behavior
anchor,ဘတ်စ်ကား,bus,0.56,0.9,0.74,0.34,0.84,0.62,0.74,0.86,0.45,0.32,0.08,0.04,0,0,Transit loanword with asat and cluster load
anchor,ဟိုတယ်,hotel,0.52,0.88,0.68,0.52,0.72,0.72,0.7,0.82,0.45,0.2,0.05,0.03,0,0,Lodging anchor with familiar loanword shape
anchor,ဆေးရုံ,hospital,0.52,0.9,0.7,0.46,0.76,0.68,0.74,0.82,0.45,0.24,0.06,0.03,0,0,Public facility word with vowel and tone signs
anchor,အိမ်သာ,toilet,0.54,0.94,0.74,0.42,0.8,0.66,0.76,0.84,0.45,0.26,0.06,0.03,0,0,Essential facility word with carrier and asat load
anchor,ဝင်,enter,0.6,0.88,0.72,0.6,0.7,0.72,0.7,0.78,0.45,0.14,0.04,0.03,0,0,Compact entrance verb with final mark
anchor,ထွက်,exit,0.6,0.9,0.74,0.46,0.76,0.68,0.72,0.8,0.45,0.24,0.06,0.03,0,0,Pairs with enter and introduces medial or vowel complexity
anchor,ဖွင့်,open,0.54,0.88,0.7,0.36,0.8,0.62,0.72,0.78,0.45,0.3,0.08,0.03,0,0,Shop sign word but requires medial and tone-mark review
anchor,ပိတ်,closed,0.54,0.88,0.7,0.58,0.7,0.74,0.72,0.78,0.45,0.16,0.04,0.03,0,0,Pairs with open and reinforces asat final behavior
