candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes
anchor,టీ,tea,0.56,0.88,0.68,0.74,0.58,0.84,0.62,0.86,0.5,0.06,0.02,0.02,0,0,Very compact cafe anchor with long ii sign
anchor,నీరు,water,0.68,0.94,0.82,0.66,0.72,0.86,0.7,0.9,0.5,0.1,0.02,0.02,0,0,Survival word and strong vowel-sign practice
anchor,కాఫీ,coffee,0.62,0.88,0.72,0.62,0.62,0.78,0.66,0.86,0.5,0.12,0.03,0.02,0,0,Cafe loanword with long aa and long ii
anchor,పాలు,milk,0.64,0.9,0.76,0.66,0.72,0.88,0.7,0.88,0.5,0.1,0.02,0.02,0,0,Short menu word for pa la and u sign review
anchor,అన్నం,rice or meal,0.68,0.9,0.78,0.5,0.82,0.8,0.74,0.88,0.5,0.2,0.03,0.03,0,0,Food staple but doubled consonant and anusvara add load
anchor,ధర,price,0.58,0.9,0.7,0.58,0.66,0.8,0.66,0.82,0.5,0.12,0.03,0.02,0,0,Shopping anchor with aspirated consonant review
anchor,దుకాణం,shop,0.6,0.9,0.76,0.48,0.78,0.78,0.72,0.86,0.5,0.2,0.04,0.02,0,0,Core domain word with long aa and anusvara
anchor,బస్,bus,0.52,0.86,0.66,0.46,0.7,0.76,0.66,0.78,0.5,0.18,0.04,0.03,0,0,Transit loanword and virama endpoint
anchor,రైలు,train,0.58,0.88,0.72,0.56,0.72,0.82,0.7,0.84,0.5,0.14,0.02,0.02,0,0,Transit anchor and ai sign practice
anchor,హోటల్,hotel,0.56,0.88,0.7,0.44,0.72,0.78,0.7,0.82,0.5,0.22,0.03,0.02,0,0,Common sign loanword but adds o sign and final virama
anchor,మందు,medicine,0.6,0.88,0.72,0.54,0.72,0.82,0.7,0.84,0.5,0.14,0.02,0.02,0,0,Useful pharmacy concept with nasal cluster awareness
anchor,ప్రవేశం,entrance,0.52,0.9,0.72,0.36,0.82,0.76,0.76,0.82,0.5,0.28,0.04,0.02,0,0,High signage utility but pr conjunct and sha make it late
anchor,నిష్క్రమణ,exit,0.48,0.9,0.7,0.28,0.84,0.72,0.76,0.82,0.5,0.34,0.05,0.03,0,0,Essential sign concept but has dense conjunct load
anchor,ఆసుపత్రి,hospital,0.52,0.9,0.72,0.34,0.82,0.76,0.76,0.84,0.5,0.3,0.04,0.02,0,0,Facility anchor with vowel signs and tri conjunct
anchor,ఫార్మసీ,pharmacy,0.5,0.88,0.68,0.34,0.76,0.72,0.72,0.82,0.5,0.3,0.06,0.04,0,0,Useful loanword but includes fa and rma cluster
