candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes,candidate_score,score_band
grapheme,あ,a hiragana,0.95,0.92,0.84,0.9,0.96,0.72,0.86,0.01,0.02,0,0,0,Core hiragana vowel,0.8660,strong
grapheme,い,i hiragana,0.92,0.9,0.82,0.88,0.96,0.72,0.84,0.02,0.02,0,0,0,Core hiragana vowel,0.8370,strong
grapheme,ん,final n,0.9,0.88,0.82,0.9,0.94,0.76,0.86,0.02,0.02,0,0,0,Final nasal and high-frequency unit,0.8320,strong
grapheme,う,u hiragana,0.88,0.86,0.8,0.86,0.96,0.7,0.84,0.02,0.02,0,0,0,Core hiragana vowel and verb ending,0.8100,strong
grapheme,か,ka hiragana,0.88,0.84,0.8,0.86,0.94,0.76,0.86,0.02,0.03,0,0,0,Foundational consonant row,0.8010,strong
grapheme,の,no hiragana,0.84,0.82,0.78,0.84,0.96,0.72,0.86,0.02,0.02,0,0,0,Very common particle,0.7880,strong
grapheme,ア,a katakana,0.88,0.84,0.78,0.86,0.96,0.7,0.88,0.02,0.04,0,0,0,Katakana counterpart to あ,0.7850,strong
grapheme,た,ta hiragana,0.84,0.82,0.78,0.84,0.94,0.74,0.84,0.02,0.03,0,0,0,Common kana and verb support,0.7770,strong
grapheme,え,e hiragana,0.84,0.82,0.76,0.82,0.96,0.68,0.82,0.02,0.03,0,0,0,Core hiragana vowel and station reading support,0.7670,strong
grapheme,お,o hiragana,0.82,0.8,0.74,0.8,0.96,0.68,0.82,0.02,0.03,0,0,0,Completes first vowel row,0.7520,strong
grapheme,カ,ka katakana,0.82,0.78,0.76,0.82,0.94,0.72,0.86,0.02,0.04,0,0,0,Loanword and cafe support,0.7470,promising
grapheme,は,ha or wa particle,0.88,0.86,0.8,0.86,0.82,0.76,0.84,0.02,0.04,0.04,0,0,Particle pronunciation mismatch is important,0.7420,promising
grapheme,す,su hiragana,0.76,0.74,0.72,0.8,0.94,0.7,0.84,0.02,0.03,0,0,0,Sushi and polite endings,0.7200,promising
grapheme,き,ki hiragana,0.8,0.78,0.74,0.8,0.94,0.74,0.82,0.04,0.04,0,0,0,Needed for palatalized combinations,0.7160,promising
grapheme,さ,sa hiragana,0.82,0.8,0.74,0.82,0.94,0.74,0.8,0.06,0.04,0,0,0,Useful but confusable with ち and き families,0.7070,promising
grapheme,こ,ko hiragana,0.74,0.72,0.7,0.76,0.94,0.7,0.82,0.03,0.03,0,0,0,Rice and shop word support,0.6920,promising
