candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes
anchor,ފެން,water,0.66,0.94,0.76,0.64,0.72,0.86,0.72,0.9,0.48,0.12,0.03,0.03,0,0,High survival value with f e n sukun
anchor,ދިވެހި,Dhivehi,0.62,0.82,0.72,0.5,0.82,0.78,0.8,0.92,0.48,0.2,0.04,0.03,0,0,Identity anchor with several core letters and marks
anchor,ބަތް,rice,0.54,0.9,0.66,0.58,0.68,0.84,0.66,0.86,0.48,0.16,0.04,0.03,0,0,Food anchor with a sign and final sukun
anchor,ކޮފީ,coffee,0.5,0.88,0.62,0.42,0.74,0.76,0.68,0.84,0.48,0.28,0.05,0.03,0,0,Cafe loanword with o and long i behavior
anchor,މަސް,fish,0.52,0.9,0.64,0.6,0.68,0.84,0.66,0.86,0.48,0.14,0.03,0.03,0,0,High menu utility with m a s sukun
anchor,ގޭ,house,0.48,0.72,0.56,0.48,0.66,0.74,0.62,0.76,0.48,0.2,0.05,0.04,0,0,Short word but long vowel representation needs review
anchor,މަގު,road,0.5,0.82,0.6,0.62,0.6,0.84,0.66,0.8,0.48,0.1,0.03,0.03,0,0,Wayfinding anchor with simple marks
anchor,ފާހާނާ,restroom,0.48,0.92,0.66,0.36,0.82,0.72,0.78,0.86,0.48,0.32,0.06,0.04,0,0,Important facility word but long-vowel load is high
anchor,މަސްޖިދު,mosque,0.46,0.78,0.58,0.34,0.78,0.76,0.72,0.82,0.48,0.34,0.05,0.04,0.02,0,Cultural-site anchor needs context review
anchor,ސުކޫލް,school,0.44,0.72,0.54,0.34,0.76,0.72,0.66,0.78,0.48,0.34,0.05,0.04,0,0,Loanword useful for primer contexts but mark-heavy
anchor,ހުޅުވާ,open,0.44,0.82,0.56,0.32,0.78,0.68,0.7,0.8,0.48,0.36,0.06,0.05,0,0,Sign word needs specialist spelling confirmation
anchor,ބަންދު,closed,0.44,0.82,0.56,0.42,0.74,0.72,0.68,0.78,0.48,0.28,0.05,0.04,0,0,Pairs with open but sukun cluster load is high
