candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,ა,a vowel,0.92,0.88,0.84,0.92,0.94,0.68,0.88,0.01,0.02,0,0,0,Core vowel with many early anchors
grapheme,ი,i vowel,0.88,0.84,0.8,0.88,0.94,0.66,0.86,0.01,0.02,0,0,0,Stable high-frequency vowel
grapheme,ე,e vowel,0.86,0.82,0.78,0.86,0.94,0.66,0.86,0.01,0.02,0,0,0,Useful in station and facility words
grapheme,ო,o vowel,0.82,0.78,0.74,0.82,0.94,0.64,0.86,0.01,0.02,0,0,0,Common vowel for signs and loans
grapheme,უ,u vowel,0.78,0.74,0.72,0.8,0.94,0.64,0.86,0.01,0.02,0,0,0,High value in bread and museum anchors
grapheme,მ,m consonant,0.8,0.76,0.72,0.78,0.92,0.6,0.84,0.02,0.02,0,0,0,Common nasal in menu and museum words
grapheme,ნ,n consonant,0.78,0.74,0.7,0.76,0.92,0.6,0.84,0.02,0.02,0,0,0,Useful in restaurant and station words
grapheme,რ,r consonant,0.76,0.72,0.7,0.76,0.84,0.58,0.84,0.03,0.04,0.01,0,0,Common rhotic with pronunciation review needed
grapheme,ს,s consonant,0.74,0.7,0.7,0.76,0.9,0.58,0.84,0.02,0.03,0,0,0,High signage coverage
grapheme,ლ,l consonant,0.72,0.68,0.66,0.72,0.92,0.56,0.84,0.02,0.03,0,0,0,Useful liquid for წყალი and labels
grapheme,კ,k ejective consonant,0.62,0.58,0.6,0.66,0.76,0.68,0.82,0.03,0.1,0.02,0,0,Ejective contrast family should be explicit
grapheme,პ,p ejective consonant,0.56,0.52,0.56,0.64,0.76,0.66,0.82,0.03,0.1,0.02,0,0,Unlocks პური and p contrast work
grapheme,ტ,t ejective consonant,0.58,0.54,0.58,0.64,0.76,0.66,0.82,0.03,0.1,0.02,0,0,Ejective stop common in loanwords and signs
grapheme,დ,d consonant,0.64,0.6,0.6,0.66,0.88,0.54,0.82,0.02,0.04,0,0,0,Useful in closed and longer sign anchors
grapheme,გ,g consonant,0.66,0.62,0.62,0.68,0.88,0.54,0.82,0.02,0.04,0,0,0,Useful in entrance and greeting words
grapheme,ბ,b consonant,0.6,0.56,0.58,0.64,0.88,0.52,0.82,0.02,0.04,0,0,0,Market and bus-related anchor support
grapheme,ვ,v consonant,0.66,0.62,0.64,0.68,0.86,0.54,0.82,0.03,0.04,0,0,0,Useful in ყავა and street words
grapheme,ხ,kh consonant,0.56,0.52,0.58,0.62,0.66,0.58,0.82,0.03,0.1,0.02,0,0,Pronunciation load but high Georgian-domain payoff
grapheme,ყ,q ejective consonant,0.5,0.48,0.58,0.66,0.58,0.7,0.82,0.03,0.14,0.03,0,0,High-load but unlocks ყავა and place names
grapheme,ჩ,ch consonant,0.54,0.5,0.58,0.68,0.82,0.62,0.84,0.02,0.08,0.01,0,0,Essential for ჩაი
grapheme,ც,ts consonant,0.5,0.48,0.52,0.58,0.78,0.6,0.82,0.02,0.08,0.01,0,0,Useful affricate for signs
grapheme,წ,ts ejective consonant,0.46,0.44,0.54,0.62,0.58,0.68,0.82,0.03,0.14,0.03,0,0,Needed for წყალი but high contrast load
grapheme,შ,sh consonant,0.58,0.54,0.6,0.66,0.84,0.6,0.84,0.02,0.06,0.01,0,0,Useful in entrance and public text
grapheme,ქ,aspirated k consonant,0.54,0.5,0.54,0.6,0.72,0.66,0.82,0.03,0.12,0.02,0,0,Contrast partner for კ and common in place names
grapheme,ფ,aspirated p consonant,0.48,0.46,0.5,0.56,0.72,0.64,0.82,0.03,0.12,0.02,0,0,Needed for ფასი and pharmacy anchor
grapheme,თ,aspirated t consonant,0.52,0.5,0.52,0.58,0.72,0.64,0.82,0.03,0.12,0.02,0,0,Useful in pharmacy and contrast work
