candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes
anchor,вода,water,0.74,0.94,0.78,0.78,0.64,0.82,0.72,0.86,0.55,0.12,0.01,0.02,0,0,Survival drink word and first visible Cyrillic win
anchor,кофе,coffee,0.7,0.92,0.76,0.82,0.6,0.86,0.7,0.88,0.55,0.1,0.01,0.02,0,0,Recognizable cafe loanword
anchor,чай,tea,0.68,0.9,0.72,0.76,0.7,0.84,0.7,0.86,0.55,0.12,0.01,0.02,0,0,Short drink anchor for Ч
anchor,метро,metro,0.72,0.92,0.78,0.8,0.62,0.86,0.72,0.88,0.55,0.1,0,0.02,0,0,Transit utility and familiar loanword
anchor,молоко,milk,0.66,0.86,0.7,0.76,0.58,0.8,0.66,0.78,0.55,0.14,0.01,0.02,0,0,Repeated о pattern and menu utility
anchor,салат,salad,0.64,0.86,0.68,0.8,0.56,0.84,0.66,0.82,0.55,0.1,0,0.02,0,0,Recognizable menu loanword
anchor,ресторан,restaurant,0.62,0.9,0.72,0.72,0.58,0.82,0.68,0.84,0.55,0.16,0.01,0.02,0,0,High-utility longer sign word
anchor,мясо,meat,0.6,0.86,0.68,0.72,0.7,0.74,0.68,0.78,0.55,0.14,0.02,0.03,0,0,Introduces soft vowel я
anchor,такси,taxi,0.62,0.9,0.68,0.82,0.58,0.86,0.66,0.86,0.55,0.08,0,0.02,0,0,Traveler utility and familiar loanword
anchor,хлеб,bread,0.58,0.84,0.64,0.7,0.62,0.72,0.64,0.74,0.55,0.14,0.02,0.03,0,0,Food anchor for Х and Б
anchor,меню,menu,0.58,0.9,0.66,0.78,0.64,0.82,0.66,0.86,0.55,0.12,0.01,0.02,0,0,Recognizable restaurant anchor with Ю
anchor,вход,entrance,0.56,0.9,0.64,0.7,0.62,0.74,0.66,0.8,0.55,0.14,0.01,0.03,0,0,Public sign anchor paired with выход
anchor,выход,exit,0.55,0.94,0.66,0.68,0.68,0.7,0.68,0.82,0.55,0.16,0.02,0.03,0,0,Essential sign pair with hard i vowel
anchor,туалет,restroom,0.58,0.95,0.68,0.72,0.6,0.82,0.7,0.84,0.55,0.14,0.01,0.02,0,0,Public-facility survival anchor
anchor,цена,price,0.54,0.86,0.62,0.72,0.66,0.76,0.66,0.78,0.55,0.14,0.01,0.02,0,0,Shopping and menu pricing anchor
anchor,аптека,pharmacy,0.52,0.88,0.62,0.72,0.58,0.8,0.64,0.78,0.55,0.16,0.01,0.02,0,0,Public-facility anchor
anchor,спасибо,thank you,0.6,0.76,0.6,0.68,0.56,0.78,0.62,0.82,0.55,0.16,0.02,0.02,0,0,Useful politeness word but longer
anchor,пожалуйста,please,0.54,0.74,0.58,0.58,0.58,0.72,0.62,0.8,0.55,0.22,0.02,0.03,0,0,Late politeness anchor due to length and load
