candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,p,voiceless bilabial plosive,0.95,0.9,0.82,0.95,0.95,0.7,0.95,0,0,0,0,0,Positive transfer from English p
grapheme,t,voiceless alveolar plosive,0.95,0.9,0.82,0.95,0.95,0.68,0.95,0,0,0,0,0,Positive transfer from English t
grapheme,k,voiceless velar plosive,0.92,0.88,0.8,0.92,0.92,0.68,0.95,0,0,0,0,0,Positive transfer from English k
grapheme,b,voiced bilabial plosive,0.9,0.86,0.76,0.9,0.94,0.66,0.95,0,0,0,0,0,Core voiced plosive pair with p
grapheme,d,voiced alveolar plosive,0.88,0.84,0.74,0.88,0.92,0.66,0.95,0,0,0,0,0,Core voiced plosive pair with t
grapheme,ɡ,voiced velar plosive,0.86,0.82,0.72,0.86,0.9,0.66,0.78,0.04,0.03,0,0,0,IPA single-storey g needs font clarity
grapheme,ɪ,near-close front vowel,0.9,0.85,0.76,0.88,0.9,0.72,0.72,0.05,0.05,0,0,0,Key English dictionary vowel in kit and bit
grapheme,ɛ,open-mid front vowel,0.88,0.84,0.74,0.86,0.9,0.7,0.7,0.05,0.05,0,0,0,Common vowel in bed and question
grapheme,æ,near-open front vowel,0.86,0.82,0.72,0.86,0.88,0.68,0.74,0.05,0.05,0,0,0,Common English cat vowel and visible ligature
grapheme,ʌ,open-mid central vowel,0.84,0.8,0.7,0.84,0.84,0.65,0.66,0.08,0.08,0,0,0,Unfamiliar shape for strut vowel
grapheme,ə,schwa,0.92,0.86,0.78,0.9,0.86,0.8,0.7,0.05,0.08,0,0,0,Most common reduced vowel and stress gateway
grapheme,ɔ,open-mid back rounded vowel,0.82,0.78,0.68,0.82,0.86,0.64,0.72,0.06,0.06,0,0,0,Common in dog and water depending accent
grapheme,m,bilabial nasal,0.92,0.88,0.78,0.92,0.95,0.65,0.95,0,0,0,0,0,Positive transfer nasal
grapheme,n,alveolar nasal,0.94,0.9,0.8,0.94,0.95,0.65,0.95,0,0,0,0,0,Positive transfer nasal
grapheme,ŋ,velar nasal,0.88,0.82,0.72,0.86,0.9,0.7,0.84,0.03,0.04,0,0,0,Unlocks sing and language endings
grapheme,s,voiceless alveolar fricative,0.92,0.88,0.78,0.92,0.94,0.65,0.95,0,0,0,0,0,Positive transfer fricative
grapheme,z,voiced alveolar fricative,0.8,0.76,0.66,0.8,0.9,0.62,0.95,0.02,0,0,0,0,Useful voiced pair with s
grapheme,ʃ,voiceless postalveolar fricative,0.86,0.8,0.7,0.84,0.9,0.68,0.72,0.03,0.04,0,0,0,English sh sound and common world-language symbol
grapheme,ʒ,voiced postalveolar fricative,0.78,0.72,0.62,0.78,0.86,0.65,0.68,0.05,0.05,0,0,0,Less common but useful in measure and usually
grapheme,θ,voiceless dental fricative,0.82,0.74,0.66,0.82,0.88,0.7,0.74,0.05,0.08,0,0,0,English th in think and cross-course Greek overlap
grapheme,ð,voiced dental fricative,0.78,0.7,0.62,0.78,0.86,0.68,0.66,0.08,0.1,0,0,0,English th in this with eth-shape confusion
grapheme,ˈ,primary stress mark,0.9,0.84,0.8,0.9,0.9,0.85,0.82,0.02,0.05,0,0,0,Essential for dictionary-style transcriptions
