candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes,candidate_score,score_band
anchor,𐤁𐤍,bn son,0.7,0.82,0.74,0.84,0.68,0.62,0.76,0.84,0.44,0.06,0.03,0.04,0,0,Common genealogical formula anchor,0.6132,promising
anchor,𐤌𐤋𐤊,mlk king,0.72,0.84,0.78,0.78,0.72,0.58,0.78,0.86,0.44,0.08,0.04,0.04,0.02,0,Compact high-frequency inscription word,0.5720,promising
anchor,𐤔𐤌,šm name,0.66,0.78,0.7,0.82,0.66,0.58,0.72,0.82,0.42,0.08,0.03,0.04,0,0,Useful museum label concept and short consonant skeleton,0.5592,promising
anchor,𐤊𐤋,kl all,0.54,0.66,0.56,0.76,0.58,0.62,0.62,0.74,0.36,0.06,0.03,0.05,0,0,Short utility word for kap and lamed review,0.4752,weak
anchor,𐤁𐤕,bt house or daughter,0.62,0.74,0.64,0.76,0.62,0.58,0.68,0.78,0.4,0.1,0.04,0.08,0,0,Ambiguous gloss requires epigraphic review,0.4468,weak
anchor,𐤀𐤋,ʾl god,0.62,0.76,0.66,0.76,0.66,0.4,0.74,0.82,0.4,0.1,0.05,0.05,0.04,0,Sacred term needs cultural context,0.4284,weak
anchor,𐤀𐤁,ʾb father,0.58,0.7,0.6,0.74,0.6,0.42,0.66,0.78,0.4,0.1,0.05,0.05,0,0,Short kinship anchor with alep caveat,0.4256,weak
anchor,𐤉𐤌,ym sea,0.5,0.66,0.54,0.68,0.56,0.54,0.62,0.76,0.36,0.1,0.04,0.05,0,0,Simple later anchor for yod and mem,0.3944,weak
anchor,𐤀𐤌,ʾm mother,0.48,0.64,0.52,0.72,0.56,0.42,0.6,0.74,0.36,0.1,0.05,0.05,0,0,Kinship anchor and alep review,0.3672,weak
anchor,𐤁𐤏𐤋,bʿl lord or Baal,0.64,0.8,0.68,0.68,0.72,0.34,0.78,0.86,0.4,0.16,0.07,0.06,0.05,0,Important inscription term with deity context,0.3372,weak
anchor,𐤏𐤌,ʿm people,0.56,0.72,0.6,0.68,0.62,0.32,0.68,0.78,0.38,0.14,0.08,0.06,0,0,Useful short word but ayin pronunciation is hard,0.3312,weak
anchor,𐤀𐤓𐤑,ʾrṣ land,0.56,0.72,0.62,0.62,0.64,0.34,0.68,0.78,0.38,0.16,0.08,0.06,0,0,Adds sade and alep so it belongs after core letters,0.3096,weak
