candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,ا,alif long a carrier,0.95,0.92,0.9,0.92,0.82,0.84,0.62,0.05,0.08,0.03,0.02,0,Essential carrier and long vowel with nonjoining behavior
grapheme,ل,lam l sound,0.88,0.86,0.82,0.86,0.86,0.82,0.72,0.04,0.07,0.02,0.02,0,High-frequency consonant and gateway to lam-alif
grapheme,م,meem m sound,0.86,0.84,0.8,0.86,0.9,0.72,0.76,0.04,0.08,0.01,0.02,0,Early anchor availability and clear pronunciation
grapheme,ب,baa b sound,0.82,0.8,0.76,0.82,0.9,0.72,0.7,0.1,0.08,0.01,0.02,0,Dotted-family contrast with ta and nun needs drills
grapheme,و,waw w or long u,0.82,0.8,0.78,0.82,0.78,0.78,0.72,0.04,0.08,0.04,0.02,0,Common long-vowel and consonant letter with nonjoining behavior
grapheme,ي,yaa y or long i,0.82,0.8,0.78,0.84,0.78,0.78,0.68,0.08,0.1,0.04,0.02,0,Common final form and long-vowel value
grapheme,ن,noon n sound,0.8,0.78,0.74,0.78,0.9,0.66,0.66,0.12,0.08,0.01,0.02,0,Dotted-family contrast with ba and ta
grapheme,ر,raa r sound,0.78,0.76,0.72,0.78,0.78,0.62,0.74,0.05,0.08,0.02,0.02,0,Common nonjoining consonant for street and price words
grapheme,س,seen s sound,0.78,0.76,0.76,0.8,0.9,0.66,0.72,0.06,0.08,0.01,0.02,0,High-payoff letter for market taxi and price anchors
grapheme,ت,taa t sound,0.76,0.74,0.72,0.78,0.9,0.66,0.68,0.12,0.08,0.01,0.02,0,Dotted-family contrast and useful in taxi and open words
grapheme,ك,kaaf k sound,0.72,0.7,0.68,0.76,0.88,0.62,0.74,0.05,0.08,0.02,0.02,0,Useful for loanwords and storefront vocabulary
grapheme,ف,faa f sound,0.68,0.66,0.66,0.72,0.9,0.6,0.72,0.08,0.08,0.01,0.02,0,High facility and hotel payoff
grapheme,ق,qaaf q sound,0.68,0.66,0.68,0.76,0.62,0.66,0.7,0.1,0.1,0.04,0.02,0,Common in signs but pronunciation varies by region
grapheme,ه,haa h sound,0.66,0.64,0.64,0.72,0.82,0.58,0.7,0.06,0.09,0.02,0.03,0,Needed for coffee and final h-like spellings
grapheme,ة,ta marbuta final a or t,0.58,0.58,0.58,0.7,0.68,0.78,0.64,0.08,0.14,0.05,0.03,0,Final feminine ending and strong gateway rule
grapheme,ش,sheen sh sound,0.62,0.62,0.66,0.72,0.9,0.58,0.74,0.08,0.08,0.01,0.02,0,Unlocks tea and street words
grapheme,د,dal d sound,0.66,0.64,0.62,0.68,0.9,0.54,0.74,0.06,0.07,0.01,0.02,0,Useful in entry hotel and mosque anchors
grapheme,خ,khaa kh sound,0.58,0.58,0.62,0.72,0.68,0.62,0.74,0.08,0.1,0.03,0.02,0,Essential for exit and bread but needs pronunciation review
grapheme,ح,haa emphatic h sound,0.62,0.62,0.66,0.74,0.58,0.66,0.72,0.1,0.12,0.04,0.02,0,Common in halal restroom milk and open words
grapheme,ج,jeem j sound,0.56,0.56,0.56,0.64,0.72,0.54,0.72,0.08,0.09,0.03,0.02,0,Needed for exit and mosque with regional pronunciation notes
grapheme,ع,ayn pharyngeal consonant,0.64,0.62,0.64,0.72,0.42,0.72,0.76,0.04,0.14,0.06,0.02,0,High-frequency letter with high pronunciation load
grapheme,ط,emphatic t sound,0.54,0.54,0.58,0.68,0.58,0.6,0.74,0.08,0.12,0.05,0.02,0,Unlocks restaurant and airport but should be delayed
grapheme,ص,emphatic s sound,0.52,0.52,0.5,0.58,0.58,0.5,0.72,0.1,0.12,0.05,0.02,0,Lower early anchor availability and emphatic contrast load
grapheme,ز,zay z sound,0.5,0.5,0.54,0.62,0.88,0.48,0.78,0.05,0.07,0.01,0.02,0,Useful for bread and place words but lower broad coverage
grapheme,غ,ghayn gh sound,0.48,0.48,0.5,0.6,0.48,0.58,0.72,0.08,0.13,0.06,0.02,0,Needed for closed and deferred pronunciation work
grapheme,ء,hamza glottal stop,0.56,0.54,0.6,0.7,0.62,0.78,0.6,0.08,0.14,0.07,0.02,0,Important in water and alif variants but orthographic load is high
grapheme,أ إ آ,alif variants with hamza or madda,0.5,0.5,0.5,0.58,0.58,0.7,0.58,0.1,0.16,0.08,0.02,0,Variant handling should wait until base alif and hamza are secure
grapheme,لا,lam-alif chunk,0.7,0.68,0.7,0.78,0.8,0.82,0.7,0.04,0.12,0.04,0.03,0,Common no word and gateway to shaping chunks
grapheme,َ ِ ُ,short vowel marks,0.44,0.42,0.36,0.5,0.72,0.78,0.52,0.04,0.18,0.08,0.04,0,Optional harakat are helpful for teaching but uncommon in everyday signs
