candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes
anchor,لا,no,0.84,0.9,0.78,0.88,0.82,0.82,0.72,0.78,0.5,0.04,0.02,0.02,0,0,Compact survival word and lam-alif shaping payoff
anchor,باب,door,0.58,0.82,0.66,0.88,0.72,0.8,0.7,0.76,0.5,0.04,0.02,0.02,0,0,Simple repeated ba anchor for right-to-left joining
anchor,ماء,water,0.72,0.96,0.82,0.62,0.78,0.72,0.72,0.9,0.5,0.12,0.05,0.02,0,0,High survival utility but hamza needs review
anchor,شاي,tea,0.62,0.9,0.74,0.68,0.72,0.84,0.68,0.88,0.5,0.1,0.03,0.02,0,0,Useful cafe word with sheen and final ya
anchor,قهوة,coffee,0.64,0.92,0.76,0.5,0.82,0.66,0.74,0.9,0.5,0.16,0.05,0.03,0,0,Strong cafe anchor with qaf waw ha and ta marbuta
anchor,سوق,market,0.64,0.9,0.76,0.62,0.72,0.74,0.68,0.84,0.5,0.1,0.04,0.02,0,0,High real-world utility and long-vowel practice
anchor,شارع,street,0.66,0.9,0.76,0.52,0.78,0.58,0.72,0.78,0.5,0.16,0.06,0.03,0,0,Common street-sign word but ayn raises pronunciation load
anchor,تاكسي,taxi,0.56,0.9,0.7,0.68,0.58,0.82,0.62,0.88,0.5,0.1,0.02,0.03,0,0,Familiar loanword for travel and dotted-letter review
anchor,فندق,hotel,0.58,0.92,0.72,0.54,0.7,0.76,0.7,0.84,0.5,0.14,0.03,0.03,0,0,Public travel word with fa noon dal qaf
anchor,خروج,exit,0.58,0.94,0.78,0.46,0.82,0.66,0.76,0.86,0.5,0.18,0.04,0.02,0,0,Essential sign word and strong pair with دخول
anchor,دخول,entrance,0.56,0.92,0.76,0.5,0.8,0.68,0.76,0.84,0.5,0.16,0.04,0.02,0,0,Pairs naturally with exit and reviews dal kha waw lam
anchor,حمام,bathroom,0.56,0.9,0.72,0.62,0.66,0.58,0.7,0.86,0.5,0.12,0.06,0.08,0,0,Useful but regional wording needs reviewer confirmation
anchor,سعر,price,0.6,0.9,0.74,0.58,0.72,0.56,0.7,0.8,0.5,0.14,0.06,0.04,0,0,Shopping anchor and good unvowelled short-vowel discussion
anchor,حلال,halal,0.56,0.86,0.7,0.68,0.72,0.58,0.7,0.9,0.5,0.12,0.06,0.03,0.03,0,High signage utility with cultural review required
anchor,خبز,bread,0.54,0.88,0.68,0.54,0.58,0.64,0.64,0.86,0.5,0.16,0.04,0.03,0,0,Useful food anchor after kha and zay are introduced
anchor,حليب,milk,0.54,0.88,0.68,0.6,0.66,0.62,0.68,0.86,0.5,0.12,0.05,0.03,0,0,Menu anchor for long i with ya
anchor,مطعم,restaurant,0.6,0.94,0.78,0.42,0.86,0.46,0.78,0.88,0.5,0.22,0.08,0.03,0,0,Essential but high-load because of emphatic ta and ayn
anchor,مطار,airport,0.56,0.88,0.68,0.58,0.62,0.58,0.66,0.82,0.5,0.14,0.05,0.03,0,0,Travel anchor after emphatic ta is known
anchor,مفتوح,open,0.54,0.9,0.7,0.46,0.78,0.62,0.74,0.8,0.5,0.2,0.05,0.03,0,0,Common shop sign word but longer and chunk-heavy
anchor,مغلق,closed,0.54,0.9,0.7,0.42,0.78,0.5,0.74,0.8,0.5,0.22,0.07,0.03,0,0,Pairs with open and introduces ghayn late
