candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,ଅ,inherent vowel a and independent a,0.9,0.88,0.82,0.86,0.8,0.94,0.82,0.03,0.05,0.04,0,0,Core abugida gateway
grapheme,ଆ / ା,aa vowel and matra,0.86,0.82,0.82,0.88,0.9,0.88,0.84,0.02,0.06,0.02,0,0,High payoff in ପାଣି ଚା ଭାତ ନାମ
grapheme,ଇ / ି,i vowel and matra,0.72,0.68,0.66,0.72,0.84,0.86,0.68,0.04,0.08,0.02,0,0,Common sign and name vowel
grapheme,ଈ / ୀ,ii vowel and matra,0.58,0.54,0.52,0.58,0.84,0.58,0.72,0.04,0.08,0.02,0,0,Lower early payoff but needed for complete matra awareness
grapheme,ଉ / ୁ,u vowel and matra,0.7,0.66,0.66,0.72,0.86,0.72,0.7,0.04,0.08,0.02,0,0,Below-base sign and useful in ଦୁଧ
grapheme,ଏ / େ,e vowel and matra,0.7,0.68,0.7,0.74,0.9,0.74,0.72,0.03,0.06,0.01,0,0,Useful in ରେଳ and labels
grapheme,ଓ / ୋ,o vowel and matra,0.68,0.66,0.68,0.72,0.9,0.74,0.76,0.03,0.06,0.01,0,0,Useful in ଦୋକାନ ଖୋଲା
grapheme,କ,k consonant base,0.78,0.76,0.72,0.78,0.88,0.76,0.78,0.04,0.04,0.01,0,0,Common base for ଦୋକାନ and ସ୍କୁଲ
grapheme,ଚ,ch consonant base,0.66,0.62,0.66,0.72,0.88,0.66,0.8,0.03,0.04,0.01,0,0,Strong early anchor in ଚା
grapheme,ଦ,d consonant base,0.8,0.78,0.76,0.8,0.86,0.72,0.76,0.05,0.05,0.02,0,0,Needed for ଦୁଧ ଦୋକାନ
grapheme,ନ,n consonant base,0.8,0.78,0.74,0.8,0.88,0.72,0.76,0.04,0.04,0.01,0,0,Common in ପାଣି ନାମ ଦୋକାନ
grapheme,ପ,p consonant base,0.74,0.72,0.72,0.76,0.88,0.68,0.78,0.03,0.04,0.01,0,0,Needed for ପାଣି and public words
grapheme,ବ,b consonant base,0.78,0.76,0.74,0.8,0.88,0.72,0.78,0.04,0.05,0.01,0,0,High payoff in ବସ ବଜାର ବନ୍ଦ
grapheme,ମ,m consonant base,0.72,0.7,0.66,0.72,0.9,0.64,0.8,0.03,0.04,0.01,0,0,Common and visually stable
grapheme,ର,r consonant base,0.82,0.8,0.78,0.82,0.84,0.78,0.74,0.05,0.06,0.02,0,0,High utility in ରେଳ ରାସ୍ତା ବଜାର
grapheme,ଲ,l consonant base,0.74,0.72,0.7,0.76,0.88,0.68,0.78,0.03,0.04,0.01,0,0,Useful in ରେଳ ଖୋଲା
grapheme,ସ,s consonant base,0.78,0.76,0.76,0.8,0.88,0.74,0.74,0.04,0.05,0.01,0,0,High sign payoff in ବସ ସ୍କୁଲ ରାସ୍ତା
grapheme,ହ,h consonant base,0.68,0.66,0.64,0.68,0.86,0.62,0.78,0.03,0.04,0.02,0,0,Useful for common public words
grapheme,ଂ,anusvara nasal sign,0.56,0.54,0.56,0.6,0.72,0.74,0.7,0.04,0.1,0.06,0,0,Common nasal mark and needs font check
grapheme,୍,virama halant,0.52,0.5,0.58,0.66,0.72,0.9,0.62,0.04,0.16,0.06,0.02,0,0,Suppresses inherent vowel and enables conjuncts
grapheme,ଡ଼,nukta-marked dda,0.42,0.38,0.48,0.58,0.76,0.74,0.66,0.05,0.12,0.05,0.02,0,0,Important for ଓଡ଼ିଶା and proper names
grapheme,ସ୍କ,sk conjunct cluster,0.34,0.3,0.42,0.52,0.7,0.7,0.66,0.06,0.18,0.06,0.04,0,0,Useful for ସ୍କୁଲ but high load
