candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes,candidate_score,score_band
anchor,ລາຄາ,price,0.62,0.9,0.76,0.72,0.66,0.8,0.68,0.82,0.45,0.08,0.02,0.02,0,0,Market anchor with transparent repeated aa sign,0.6134,promising
anchor,ກາເຟ,coffee,0.58,0.9,0.74,0.72,0.74,0.82,0.68,0.9,0.45,0.1,0.02,0.02,0,0,Familiar cafe word and preposed vowel practice,0.5942,promising
anchor,ນ້ຳ,water,0.76,0.96,0.86,0.62,0.84,0.72,0.76,0.9,0.45,0.16,0.04,0.02,0,0,Essential survival word with tone mark and am sign,0.5766,promising
anchor,ອອກ,exit / out,0.62,0.9,0.76,0.68,0.64,0.78,0.72,0.82,0.45,0.1,0.03,0.03,0,0,Clear exit anchor with repeated carrier shape,0.5666,promising
anchor,ທາງ,road / way,0.62,0.88,0.74,0.66,0.66,0.78,0.66,0.78,0.45,0.1,0.03,0.02,0,0,Wayfinding anchor with final nasal behavior,0.5638,promising
anchor,ອາຫານ,food,0.66,0.9,0.76,0.62,0.68,0.76,0.7,0.84,0.45,0.14,0.03,0.02,0,0,Useful food category word with carrier and h behavior,0.5390,promising
anchor,ລົດ,vehicle / car,0.62,0.86,0.72,0.62,0.68,0.76,0.66,0.8,0.45,0.12,0.03,0.02,0,0,Transit word with compact closed syllable,0.5326,promising
anchor,ຮ້ານ,shop / restaurant,0.66,0.92,0.78,0.6,0.78,0.72,0.74,0.86,0.45,0.16,0.04,0.02,0,0,Storefront anchor with tone mark and long vowel,0.5230,promising
anchor,ປິດ,closed,0.54,0.88,0.7,0.58,0.68,0.76,0.72,0.78,0.45,0.14,0.03,0.03,0,0,Pairs with open and reinforces final d spelling,0.4826,weak
anchor,ເຂົ້າ,rice / food,0.78,0.94,0.84,0.5,0.86,0.66,0.78,0.9,0.45,0.22,0.05,0.03,0,0,High utility but heavy tone and vowel-frame load,0.4758,weak
anchor,ເປີດ,open,0.54,0.88,0.7,0.5,0.74,0.7,0.72,0.78,0.45,0.18,0.04,0.03,0,0,Useful shop sign after preposed vowels and final consonants,0.4226,weak
anchor,ເຂົ້າ,enter,0.64,0.88,0.74,0.5,0.86,0.66,0.74,0.82,0.45,0.22,0.05,0.04,0,0,Pairs with exit but collides semantically with rice and needs review,0.4026,weak
anchor,ຕະຫຼາດ,market,0.6,0.92,0.76,0.46,0.82,0.62,0.74,0.86,0.45,0.24,0.06,0.03,0,0,High payoff market word with leading h and cluster behavior,0.3730,weak
anchor,ໂຮງແຮມ,hotel,0.5,0.88,0.68,0.42,0.78,0.7,0.72,0.82,0.45,0.24,0.05,0.03,0,0,Lodging anchor with preposed vowels and compound chunks,0.3350,weak
anchor,ຫ້ອງນ້ຳ,toilet / bathroom,0.56,0.95,0.78,0.34,0.86,0.58,0.78,0.9,0.45,0.32,0.08,0.03,0,0,Essential facility phrase but high combining-mark load,0.2608,weak
