candidate_type,candidate,gloss,weighted_word_frequency,real_world_utility,coverage_gain,decodability,rule_payoff,pronunciation_clarity,review_value,memorability,source_confidence,new_load_penalty,irregularity_penalty,ambiguity_penalty,sensitivity_penalty,license_penalty,notes
anchor,물,water,0.95,0.98,0.80,0.95,0.70,0.95,0.50,0.90,0.50,0.00,0.00,0.05,0.00,0.00,"domain: food_cafe_menus. Jamo: ㅁ+ㅜ+ㄹ batchim. 3 jamo. Teaches ㅁ ㅜ and first batchim consonant ㄹ. Found on every menu and restaurant table. Lesson 1-2 candidate."
anchor,밥,rice/meal,0.90,0.90,0.75,0.95,0.65,0.90,0.50,0.90,0.50,0.05,0.00,0.10,0.00,0.00,"domain: food_cafe_menus. Jamo: ㅂ+ㅏ+ㅂ batchim. Same consonant initial and final. Ambiguity: also means specifically cooked rice — context note needed."
anchor,국,soup/broth,0.80,0.85,0.70,0.95,0.65,0.90,0.55,0.80,0.50,0.05,0.00,0.10,0.00,0.00,"domain: food_cafe_menus. Jamo: ㄱ+ㅜ+ㄱ batchim. Teaches ㄱ in both initial and batchim positions. Ambiguity: 국 also appears in 한국 — a later review opportunity."
anchor,면,noodle,0.75,0.85,0.70,0.85,0.65,0.85,0.60,0.85,0.50,0.10,0.00,0.05,0.00,0.00,"domain: food_cafe_menus. Jamo: ㅁ+ㅕ+ㄴ batchim. Introduces ㅕ diphthong. Forms compounds: 냉면 라면 비빔면."
anchor,라면,ramen/instant noodles,0.85,0.90,0.60,0.80,0.55,0.85,0.70,0.95,0.50,0.10,0.05,0.05,0.00,0.00,"domain: food_cafe_menus. Jamo: ㄹ+ㅏ+ㅁ+ㅕ+ㄴ. 2 syllables. ㄹ initial position. Irregularity: ㄹ as initial is r-like — needs pronunciation note."
anchor,김치,kimchi,0.85,0.95,0.55,0.80,0.55,0.85,0.65,0.99,0.50,0.15,0.00,0.00,0.00,0.00,"domain: food_cafe_menus. Jamo: ㄱ+ㅣ+ㅁ batchim + ㅊ+ㅣ. 2 syllables. Introduces batchim ㅁ in medial position and aspirated ㅊ. Globally iconic — maximal memorability. Best late Stage 1 or Stage 2 anchor."
anchor,커피,coffee (loanword),0.80,0.90,0.55,0.85,0.80,0.90,0.60,0.95,0.50,0.15,0.00,0.00,0.00,0.00,"domain: food_cafe_menus. Jamo: ㅋ+ㅓ+ㅍ+ㅣ. 2 syllables. Introduces aspirated ㅋ and ㅍ. Loanword — pronunciation close to English source, learner can verify decoding."
anchor,메뉴,menu (loanword),0.75,0.90,0.50,0.85,0.50,0.85,0.60,0.90,0.50,0.15,0.00,0.00,0.00,0.00,"domain: food_cafe_menus. Jamo: ㅁ+ㅔ+ㄴ+ㅠ. 2 syllables. Introduces ㅔ vowel and ㅠ vowel. Appears on every restaurant menu. Good for ㅔ vs ㅐ distinction."
anchor,카페,café (loanword),0.75,0.90,0.50,0.85,0.85,0.90,0.55,0.90,0.50,0.10,0.00,0.00,0.00,0.00,"domain: food_cafe_menus. Jamo: ㅋ+ㅏ+ㅍ+ㅔ. 2 syllables. Reinforces ㅋ and ㅍ after 커피. Shop-front signage."
anchor,불고기,bulgogi (grilled beef),0.80,0.85,0.45,0.70,0.55,0.80,0.60,0.95,0.50,0.20,0.05,0.00,0.00,0.00,"domain: food_cafe_menus. Jamo: ㅂ+ㅜ+ㄹ batchim + ㄱ+ㅗ + ㄱ+ㅣ. 3 syllables. ㄹ batchim. Irregularity: ㄹ batchim pronunciation (dark l-like). Good Stage 2 anchor."
