candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes,candidate_score,score_band
grapheme,水,water,0.92,0.86,0.86,0.92,0.84,0.78,0.9,0.02,0.1,0.02,0,0,Survival word and water radical gateway,0.7360,promising
grapheme,人,person,0.94,0.88,0.7,0.82,0.82,0.62,0.9,0.02,0.1,0.02,0,0,High-frequency simple character and category word,0.6940,promising
grapheme,上,up above,0.9,0.84,0.74,0.84,0.82,0.64,0.9,0.02,0.1,0.02,0,0,Directional sign word,0.6840,promising
grapheme,下,down below,0.88,0.82,0.74,0.84,0.82,0.64,0.9,0.02,0.1,0.02,0,0,Directional sign word,0.6740,promising
grapheme,口,mouth opening,0.82,0.76,0.78,0.86,0.82,0.8,0.9,0.04,0.1,0.02,0,0,Radical and sign component in 出口 入口,0.6480,promising
grapheme,饭,meal rice,0.86,0.8,0.86,0.9,0.82,0.78,0.82,0.04,0.14,0.02,0,0,Core menu word with traditional variant 飯,0.6380,promising
grapheme,菜,dish vegetable,0.8,0.76,0.82,0.86,0.82,0.78,0.84,0.04,0.14,0.02,0,0,Grass radical and menu category,0.6030,promising
grapheme,喝,drink,0.84,0.78,0.84,0.88,0.84,0.76,0.8,0.04,0.16,0.02,0,0,Mouth radical and beverage action,0.6020,promising
grapheme,出,exit out,0.78,0.72,0.8,0.84,0.82,0.72,0.88,0.04,0.12,0.02,0,0,Transit exit sign component,0.6000,promising
grapheme,开,open,0.78,0.72,0.78,0.82,0.82,0.7,0.82,0.04,0.12,0.02,0,0,Signage state word with traditional variant 開,0.5900,promising
grapheme,肉,meat,0.79,0.74,0.82,0.86,0.82,0.72,0.82,0.04,0.14,0.02,0,0,Menu category with strong utility,0.5890,promising
grapheme,酒,alcohol,0.82,0.76,0.8,0.84,0.82,0.72,0.82,0.04,0.16,0.02,0,0,Menu and culture word with liquor component,0.5770,promising
grapheme,关,close,0.74,0.7,0.78,0.82,0.82,0.7,0.82,0.04,0.12,0.02,0,0,Signage state word with traditional variant 關,0.5740,promising
grapheme,入,enter in,0.76,0.7,0.78,0.84,0.82,0.72,0.88,0.06,0.12,0.02,0,0,Entrance sign component and contrast with 人,0.5670,promising
grapheme,食,eat food,0.82,0.78,0.82,0.86,0.72,0.82,0.82,0.04,0.16,0.04,0,0,Food semantic component and standalone word,0.5660,promising
grapheme,生,life raw,0.8,0.76,0.7,0.78,0.78,0.68,0.82,0.04,0.14,0.04,0,0,High-frequency component in 卫生,0.5420,promising
grapheme,女,female,0.74,0.68,0.74,0.8,0.78,0.68,0.86,0.04,0.14,0.02,0,0,Restroom and public sign category,0.5380,promising
grapheme,茶,tea,0.7,0.66,0.76,0.82,0.84,0.72,0.82,0.04,0.14,0.02,0,0,Common beverage and cultural anchor,0.5350,promising
grapheme,面,noodle face,0.78,0.72,0.78,0.84,0.76,0.68,0.82,0.05,0.14,0.04,0,0,High menu utility with ambiguity by context,0.5340,promising
grapheme,钱,money,0.74,0.7,0.76,0.82,0.8,0.68,0.78,0.04,0.16,0.02,0,0,Metal-radical commerce word with traditional variant 錢,0.5250,promising
grapheme,汤,soup,0.71,0.66,0.78,0.82,0.82,0.74,0.78,0.04,0.16,0.02,0,0,Water-radical menu word,0.5190,promising
grapheme,左,left,0.72,0.66,0.7,0.78,0.82,0.62,0.82,0.04,0.14,0.02,0,0,Direction and wayfinding word,0.5160,promising
grapheme,右,right,0.72,0.66,0.7,0.78,0.82,0.62,0.82,0.04,0.14,0.02,0,0,Direction and wayfinding word,0.5160,promising
grapheme,价,price value,0.72,0.68,0.74,0.78,0.78,0.66,0.76,0.04,0.16,0.02,0,0,Shopping and pricing word with traditional variant 價,0.5030,promising
grapheme,男,male,0.7,0.64,0.74,0.8,0.8,0.68,0.82,0.04,0.16,0.02,0,0,Restroom and public sign category,0.4980,weak
grapheme,号,number mark,0.68,0.62,0.68,0.76,0.78,0.62,0.78,0.04,0.14,0.02,0,0,Menu numbering and signs,0.4850,weak
grapheme,咖,coffee first syllable,0.52,0.5,0.68,0.76,0.78,0.66,0.78,0.04,0.16,0.02,0,0,Loanword component in 咖啡,0.3970,weak
grapheme,啡,coffee second syllable,0.51,0.49,0.68,0.76,0.78,0.66,0.78,0.04,0.16,0.02,0,0,Loanword component in 咖啡,0.3920,weak
grapheme,卫,hygiene guard,0.56,0.52,0.68,0.74,0.76,0.66,0.78,0.04,0.18,0.04,0,0,Facility word in 卫生,0.3690,weak
