candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,ㅏ,vowel a (as in 'father'),0.90,0.85,0.85,0.95,0.95,0.20,0.90,0.00,0.00,0.00,0.00,0.00,"jamo_position: vowel (jungseong only). Most common Korean vowel. Appears in 물 밥 라면 카페 etc. Tall vertical stroke — visually distinct."
grapheme,ㅓ,vowel eo (as in 'ugh'),0.85,0.80,0.80,0.90,0.80,0.15,0.85,0.00,0.00,0.05,0.00,0.00,"jamo_position: vowel. Second most common vowel. Pronunciation is mid-back unrounded — tricky for English speakers but very frequent. Appears in 버스 커피."
grapheme,ㅗ,vowel o (as in 'go'),0.85,0.80,0.80,0.90,0.90,0.15,0.90,0.00,0.00,0.00,0.00,0.00,"jamo_position: vowel. Very common. Horizontal stroke — visually distinct from vertical vowels. Appears in 불고기 주차 노래."
grapheme,ㅜ,vowel u (as in 'too'),0.80,0.75,0.75,0.85,0.90,0.15,0.85,0.00,0.00,0.00,0.00,0.00,"jamo_position: vowel. Common. Mirror of ㅗ — teach together to exploit visual pairing. Appears in 국 출구 음악."
grapheme,ㅣ,vowel i (as in 'see'),0.85,0.80,0.80,0.90,0.95,0.15,0.90,0.00,0.00,0.00,0.00,0.00,"jamo_position: vowel. Very common. Single vertical stroke — simplest Hangul vowel. Appears in 김치 택시 영화."
grapheme,ㅡ,vowel eu (neutral/schwa-ish),0.80,0.75,0.70,0.85,0.70,0.25,0.90,0.00,0.00,0.10,0.00,0.00,"jamo_position: vowel. Very common. Single horizontal stroke — simple shape. Pronunciation has no English equivalent; rule_gateway_value high because it introduces the neutral vowel concept. Appears in 마트 은행."
grapheme,ㅇ,silent initial / ng final,0.90,0.90,0.85,0.95,0.75,0.95,0.85,0.00,0.00,0.10,0.00,0.00,"jamo_position: choseong (silent placeholder) AND jongseong (ng sound). Highest rule_gateway_value: ㅇ as initial is the key rule that unlocks all pure-vowel syllables. Critical to teach early. Appears in 입구 은행 영화 음악."
grapheme,ㄴ,consonant n,0.85,0.80,0.75,0.90,0.95,0.10,0.80,0.00,0.00,0.00,0.00,0.00,"jamo_position: choseong and jongseong. Very common. Clean L-shape. Both initial (나) and final batchim. Appears in 면 라면 노래."
grapheme,ㄹ,consonant r/l,0.80,0.75,0.80,0.85,0.75,0.20,0.75,0.00,0.00,0.15,0.00,0.00,"jamo_position: choseong and jongseong. Very common. Pronunciation varies (r-like word-initially or after vowel, l-like as batchim or before consonant) — irregularity_penalty applies. Distinctive shape. Appears in 물 출구 서울."
grapheme,ㅅ,consonant s,0.80,0.75,0.75,0.85,0.90,0.10,0.80,0.00,0.00,0.05,0.00,0.00,"jamo_position: choseong and jongseong. Very common. Tent/arrow shape — visually memorable. Minor irregularity: as batchim ㅅ is realized as unreleased t-like stop. Appears in 버스 화장실."
