candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes,candidate_score,score_band
grapheme,ㅏ,vowel a (as in 'father'),0.90,0.85,0.85,0.95,0.95,0.20,0.90,0.00,0.00,0.00,0.00,0.00,jamo_position: vowel (jungseong only). Most common Korean vowel. Appears in 물 밥 라면 카페 etc. Tall vertical stroke — visually distinct.,0.8225,strong
grapheme,ㅇ,silent initial / ng final,0.90,0.90,0.85,0.95,0.75,0.95,0.85,0.00,0.00,0.10,0.00,0.00,jamo_position: choseong (silent placeholder) AND jongseong (ng sound). Highest rule_gateway_value: ㅇ as initial is the key rule that unlocks all pure-vowel syllables. Critical to teach early. Appears in 입구 은행 영화 음악.,0.7850,strong
grapheme,ㅣ,vowel i (as in 'see'),0.85,0.80,0.80,0.90,0.95,0.15,0.90,0.00,0.00,0.00,0.00,0.00,jamo_position: vowel. Very common. Single vertical stroke — simplest Hangul vowel. Appears in 김치 택시 영화.,0.7800,strong
grapheme,ㅗ,vowel o (as in 'go'),0.85,0.80,0.80,0.90,0.90,0.15,0.90,0.00,0.00,0.00,0.00,0.00,jamo_position: vowel. Very common. Horizontal stroke — visually distinct from vertical vowels. Appears in 불고기 주차 노래.,0.7750,strong
grapheme,ㄴ,consonant n,0.85,0.80,0.75,0.90,0.95,0.10,0.80,0.00,0.00,0.00,0.00,0.00,jamo_position: choseong and jongseong. Very common. Clean L-shape. Both initial (나) and final batchim. Appears in 면 라면 노래.,0.7625,strong
grapheme,ㅜ,vowel u (as in 'too'),0.80,0.75,0.75,0.85,0.90,0.15,0.85,0.00,0.00,0.00,0.00,0.00,jamo_position: vowel. Common. Mirror of ㅗ — teach together to exploit visual pairing. Appears in 국 출구 음악.,0.7350,promising
grapheme,ㅁ,consonant m,0.80,0.75,0.75,0.85,0.95,0.10,0.85,0.00,0.00,0.00,0.00,0.00,jamo_position: choseong and jongseong. Very common. Square shape — easy to remember as 'mouth'. Appears in 면 라면 음악.,0.7350,promising
grapheme,ㅓ,vowel eo (as in 'ugh'),0.85,0.80,0.80,0.90,0.80,0.15,0.85,0.00,0.00,0.05,0.00,0.00,jamo_position: vowel. Second most common vowel. Pronunciation is mid-back unrounded — tricky for English speakers but very frequent. Appears in 버스 커피.,0.7125,promising
grapheme,ㅅ,consonant s,0.80,0.75,0.75,0.85,0.90,0.10,0.80,0.00,0.00,0.05,0.00,0.00,jamo_position: choseong and jongseong. Very common. Tent/arrow shape — visually memorable. Minor irregularity: as batchim ㅅ is realized as unreleased t-like stop. Appears in 버스 화장실.,0.6775,promising
grapheme,ㅡ,vowel eu (neutral/schwa-ish),0.80,0.75,0.70,0.85,0.70,0.25,0.90,0.00,0.00,0.10,0.00,0.00,jamo_position: vowel. Very common. Single horizontal stroke — simple shape. Pronunciation has no English equivalent; rule_gateway_value high because it introduces the neutral vowel concept. Appears in 마트 은행.,0.6200,promising
grapheme,ㅈ,consonant j,0.65,0.60,0.65,0.70,0.85,0.10,0.80,0.00,0.00,0.00,0.00,0.00,jamo_position: choseong (rarely jongseong in learner vocabulary). Common. Clear j sound for English speakers. Appears in 지하철 주차 화장실.,0.6175,promising
