candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,人,person,0.94,0.88,0.7,0.82,0.82,0.62,0.9,0.02,0.1,0.02,0,0,High-frequency simple character and category word
grapheme,水,water,0.92,0.86,0.86,0.92,0.84,0.78,0.9,0.02,0.1,0.02,0,0,Survival word and water radical gateway
grapheme,食,eat food,0.82,0.78,0.82,0.86,0.72,0.82,0.82,0.04,0.16,0.04,0,0,Food semantic component and standalone word
grapheme,饭,meal rice,0.86,0.8,0.86,0.9,0.82,0.78,0.82,0.04,0.14,0.02,0,0,Core menu word with traditional variant 飯
grapheme,喝,drink,0.84,0.78,0.84,0.88,0.84,0.76,0.8,0.04,0.16,0.02,0,0,Mouth radical and beverage action
grapheme,酒,alcohol,0.82,0.76,0.8,0.84,0.82,0.72,0.82,0.04,0.16,0.02,0,0,Menu and culture word with liquor component
grapheme,菜,dish vegetable,0.8,0.76,0.82,0.86,0.82,0.78,0.84,0.04,0.14,0.02,0,0,Grass radical and menu category
grapheme,肉,meat,0.79,0.74,0.82,0.86,0.82,0.72,0.82,0.04,0.14,0.02,0,0,Menu category with strong utility
grapheme,面,noodle face,0.78,0.72,0.78,0.84,0.76,0.68,0.82,0.05,0.14,0.04,0,0,High menu utility with ambiguity by context
grapheme,汤,soup,0.71,0.66,0.78,0.82,0.82,0.74,0.78,0.04,0.16,0.02,0,0,Water-radical menu word
grapheme,茶,tea,0.7,0.66,0.76,0.82,0.84,0.72,0.82,0.04,0.14,0.02,0,0,Common beverage and cultural anchor
grapheme,咖,coffee first syllable,0.52,0.5,0.68,0.76,0.78,0.66,0.78,0.04,0.16,0.02,0,0,Loanword component in 咖啡
grapheme,啡,coffee second syllable,0.51,0.49,0.68,0.76,0.78,0.66,0.78,0.04,0.16,0.02,0,0,Loanword component in 咖啡
grapheme,价,price value,0.72,0.68,0.74,0.78,0.78,0.66,0.76,0.04,0.16,0.02,0,0,Shopping and pricing word with traditional variant 價
grapheme,钱,money,0.74,0.7,0.76,0.82,0.8,0.68,0.78,0.04,0.16,0.02,0,0,Metal-radical commerce word with traditional variant 錢
grapheme,开,open,0.78,0.72,0.78,0.82,0.82,0.7,0.82,0.04,0.12,0.02,0,0,Signage state word with traditional variant 開
grapheme,关,close,0.74,0.7,0.78,0.82,0.82,0.7,0.82,0.04,0.12,0.02,0,0,Signage state word with traditional variant 關
grapheme,上,up above,0.9,0.84,0.74,0.84,0.82,0.64,0.9,0.02,0.1,0.02,0,0,Directional sign word
grapheme,下,down below,0.88,0.82,0.74,0.84,0.82,0.64,0.9,0.02,0.1,0.02,0,0,Directional sign word
grapheme,左,left,0.72,0.66,0.7,0.78,0.82,0.62,0.82,0.04,0.14,0.02,0,0,Direction and wayfinding word
grapheme,右,right,0.72,0.66,0.7,0.78,0.82,0.62,0.82,0.04,0.14,0.02,0,0,Direction and wayfinding word
grapheme,男,male,0.7,0.64,0.74,0.8,0.8,0.68,0.82,0.04,0.16,0.02,0,0,Restroom and public sign category
grapheme,女,female,0.74,0.68,0.74,0.8,0.78,0.68,0.86,0.04,0.14,0.02,0,0,Restroom and public sign category
grapheme,卫,hygiene guard,0.56,0.52,0.68,0.74,0.76,0.66,0.78,0.04,0.18,0.04,0,0,Facility word in 卫生
grapheme,生,life raw,0.8,0.76,0.7,0.78,0.78,0.68,0.82,0.04,0.14,0.04,0,0,High-frequency component in 卫生
grapheme,号,number mark,0.68,0.62,0.68,0.76,0.78,0.62,0.78,0.04,0.14,0.02,0,0,Menu numbering and signs
grapheme,出,exit out,0.78,0.72,0.8,0.84,0.82,0.72,0.88,0.04,0.12,0.02,0,0,Transit exit sign component
grapheme,入,enter in,0.76,0.7,0.78,0.84,0.82,0.72,0.88,0.06,0.12,0.02,0,0,Entrance sign component and contrast with 人
grapheme,口,mouth opening,0.82,0.76,0.78,0.86,0.82,0.8,0.9,0.04,0.1,0.02,0,0,Radical and sign component in 出口 入口
