candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes,candidate_score,score_band
grapheme,આ / ા,aa vowel and matra,0.86,0.82,0.82,0.88,0.9,0.88,0.84,0.02,0.06,0.02,0,0,High payoff in પાણી ચા દાળ નામ,0.7530,strong
grapheme,અ,inherent vowel a and independent a,0.9,0.88,0.82,0.86,0.8,0.94,0.82,0.03,0.05,0.04,0,0,Core abugida gateway,0.7500,strong
grapheme,ન,n consonant base,0.8,0.78,0.74,0.8,0.88,0.72,0.76,0.04,0.04,0.01,0,0,Common in પાણી નામ દુકાન,0.6950,promising
grapheme,ક,k consonant base,0.78,0.76,0.72,0.78,0.88,0.76,0.78,0.04,0.04,0.01,0,0,Common base for દુકાન and સ્કૂલ,0.6850,promising
grapheme,સ,s consonant base,0.78,0.76,0.76,0.8,0.88,0.74,0.74,0.04,0.05,0.01,0,0,High sign payoff in બસ રસ્તો સ્કૂલ,0.6790,promising
grapheme,બ,b consonant base,0.78,0.76,0.74,0.8,0.88,0.72,0.78,0.04,0.05,0.01,0,0,High payoff in બસ બજાર બંધ,0.6760,promising
grapheme,ર,r consonant base,0.82,0.8,0.78,0.82,0.84,0.78,0.74,0.05,0.06,0.02,0,0,High utility in રેલ રસ્તો બજાર,0.6740,promising
grapheme,દ,d consonant base,0.8,0.78,0.76,0.8,0.86,0.72,0.76,0.05,0.05,0.02,0,0,Needed for દાળ દૂધ દુકાન,0.6660,promising
grapheme,પ,p consonant base,0.74,0.72,0.72,0.76,0.88,0.68,0.78,0.03,0.04,0.01,0,0,Needed for પાણી and public words,0.6650,promising
grapheme,લ,l consonant base,0.74,0.72,0.7,0.76,0.88,0.68,0.78,0.03,0.04,0.01,0,0,Useful in દાળ રેલ રોટલી,0.6620,promising
grapheme,એ / ે,e vowel and matra,0.72,0.7,0.72,0.76,0.9,0.74,0.74,0.03,0.06,0.01,0,0,Useful in રેલ and labels,0.6410,promising
grapheme,મ,m consonant base,0.72,0.7,0.66,0.72,0.9,0.64,0.8,0.03,0.04,0.01,0,0,Common and visually stable,0.6410,promising
grapheme,ઓ / ો,o vowel and matra,0.68,0.66,0.68,0.72,0.9,0.74,0.76,0.03,0.06,0.01,0,0,Useful in રોટલી and રસ્તો,0.6120,promising
grapheme,ચ,ch consonant base,0.66,0.62,0.66,0.72,0.88,0.66,0.8,0.03,0.04,0.01,0,0,Strong early anchor in ચા,0.6070,promising
grapheme,હ,h consonant base,0.68,0.66,0.64,0.68,0.86,0.62,0.78,0.03,0.04,0.02,0,0,Useful for હોસ્પિટલ and common words,0.5970,promising
grapheme,ઇ / િ,i vowel and pre-base matra,0.72,0.68,0.66,0.72,0.84,0.88,0.62,0.05,0.1,0.02,0,0,Pre-base sign introduces visual order versus reading order,0.5560,promising
grapheme,ઉ / ુ,u vowel and matra,0.68,0.64,0.64,0.7,0.86,0.7,0.7,0.04,0.08,0.02,0,0,Below-base sign and useful in ખુલ્લું,0.5490,promising
grapheme,ઈ / ી,ii vowel and matra,0.68,0.64,0.62,0.68,0.86,0.68,0.72,0.04,0.08,0.02,0,0,Useful for પાણી and labels,0.5430,promising
grapheme,ં,anusvara nasal sign,0.58,0.56,0.58,0.62,0.72,0.76,0.7,0.04,0.1,0.06,0,0,Common nasal mark for signs and labels,0.4180,weak
grapheme,્,virama halant,0.5,0.48,0.56,0.64,0.72,0.9,0.62,0.04,0.16,0.06,0.02,0,0,0.3070,weak
grapheme,સ્ક,sk conjunct cluster,0.34,0.3,0.42,0.52,0.7,0.7,0.66,0.06,0.18,0.06,0.04,0,0,0.1100,weak
grapheme,઼,nukta mark,0.12,0.1,0.12,0.18,0.62,0.4,0.58,0.04,0.14,0.06,0.02,0,0,0.0000,weak
