candidate_type,candidate,gloss,corpus_frequency,distinct_word_coverage,domain_coverage_gain,anchor_availability,pronunciation_clarity,rule_gateway_value,visual_distinctiveness,confusability_penalty,load_penalty,irregularity_penalty,font_penalty,license_penalty,notes
grapheme,ಅ,independent vowel a,0.9,0.88,0.78,0.86,0.9,0.82,0.76,0.03,0.04,0.02,0.02,0,Gateway to inherent-vowel model and independent vowels
grapheme,ಆ/ಾ,long aa vowel and sign,0.78,0.76,0.72,0.8,0.9,0.74,0.76,0.03,0.07,0.02,0.02,0,Useful in coffee tea and milk anchors
grapheme,ಇ/ಿ,i vowel and sign,0.78,0.76,0.7,0.78,0.88,0.72,0.72,0.04,0.08,0.02,0.02,0,Core short vowel sign for early decoding
grapheme,ಈ/ೀ,long ii vowel and sign,0.74,0.72,0.72,0.82,0.88,0.74,0.72,0.04,0.08,0.02,0.02,0,High utility in water and coffee anchors
grapheme,ಉ/ು,u vowel and sign,0.72,0.7,0.7,0.78,0.86,0.72,0.72,0.04,0.08,0.02,0.02,0,Needed for water milk and transit anchors
grapheme,ಎ/ೆ,e vowel and sign,0.7,0.68,0.68,0.74,0.84,0.72,0.7,0.04,0.08,0.02,0.03,0,Useful for price and entrance words
grapheme,ಐ/ೈ,ai vowel and sign,0.58,0.58,0.64,0.7,0.84,0.7,0.72,0.03,0.08,0.02,0.03,0,Unlocks rail anchor and common sign forms
grapheme,ಕ,ka base consonant,0.86,0.84,0.8,0.86,0.86,0.8,0.74,0.05,0.07,0.02,0.02,0,Core consonant for coffee and shop words
grapheme,ಚ,cha base consonant,0.58,0.58,0.62,0.72,0.84,0.68,0.76,0.05,0.07,0.02,0.02,0,High payoff through tea anchor ಚಹಾ
grapheme,ಹ,ha base consonant,0.7,0.68,0.72,0.78,0.84,0.72,0.74,0.04,0.06,0.02,0.02,0,Useful in tea milk hotel and hospital anchors
grapheme,ಪ,pa base consonant,0.76,0.74,0.72,0.78,0.86,0.72,0.76,0.04,0.07,0.02,0.02,0,Entrance and facility anchors need this base
grapheme,ಮ,ma base consonant,0.8,0.78,0.74,0.8,0.9,0.72,0.78,0.04,0.05,0.01,0.02,0,Stable sonorant with facility payoff
grapheme,ನ,na base consonant,0.8,0.78,0.76,0.82,0.88,0.72,0.74,0.06,0.07,0.02,0.02,0,High payoff but conjunct doubling appears early
grapheme,ಲ,la base consonant,0.76,0.74,0.72,0.8,0.88,0.72,0.74,0.05,0.06,0.01,0.02,0,Common liquid for milk rail and hotel anchors
grapheme,ರ,ra base consonant,0.78,0.76,0.74,0.82,0.84,0.74,0.74,0.05,0.07,0.02,0.02,0,Common but r-conjuncts need separate staging
grapheme,ಬ,ba base consonant,0.68,0.66,0.68,0.76,0.86,0.7,0.76,0.04,0.06,0.02,0.02,0,Useful for bus and price anchors
grapheme,ಂ,anusvara,0.68,0.66,0.68,0.76,0.78,0.74,0.62,0.04,0.08,0.03,0.03,0,Common nasal marker in food and shop anchors
grapheme,್,virama,0.68,0.66,0.7,0.78,0.76,0.9,0.58,0.05,0.14,0.03,0.05,0,Suppresses inherent vowel and participates in ottakshara forms
